id,unique_id,raceid,racetype,racetypeid,ballotorder,candidateid,description,delegatecount,electiondate,fipscode,first,incumbent,initialization_data,is_ballot_measure,last,lastupdated,level,national,officeid,officename,party,polid,polnum,precinctsreporting,precinctsreportingpct,precinctstotal,reportingunitid,reportingunitname,runoff,seatname,seatnum,statename,statepostal,test,uncontested,votecount,votepct,winner
41001-polid-1746-state-1,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,,Hillary,False,False,False,Clinton,2016-02-28T06:39:11Z,state,True,P,President,Dem,1746,44200,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,271514,0.734763,True
41001-polid-1445-state-1,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,,Bernie,False,False,False,Sanders,2016-02-28T06:39:11Z,state,True,P,President,Dem,1445,44201,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,95977,0.25973,False
41001-polid-64569-state-1,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,,Willie,False,False,False,Wilson,2016-02-28T06:39:11Z,state,True,P,President,Dem,64569,44220,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,1321,0.003575,False
41001-polid-22603-state-1,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,,Martin,False,False,False,O'Malley,2016-02-28T06:39:11Z,state,True,P,President,Dem,22603,44202,2240,100.0,2240,state-1,,False,,,South Carolina,SC,False,False,714,0.001932,False
41001-polid-1746-county-41001,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45001,Hillary,False,False,False,Clinton,2016-02-28T01:54:13Z,county,True,P,President,Dem,1746,44200,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,1501,0.81843,True
41001-polid-1445-county-41001,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45001,Bernie,False,False,False,Sanders,2016-02-28T01:54:13Z,county,True,P,President,Dem,1445,44201,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,312,0.17012,False
41001-polid-64569-county-41001,polid-64569,41001,Primary,D,4,47866,,0,2016-02-27,45001,Willie,False,False,False,Wilson,2016-02-28T01:54:13Z,county,True,P,President,Dem,64569,44220,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,15,0.008179,False
41001-polid-22603-county-41001,polid-22603,41001,Primary,D,2,47867,,0,2016-02-27,45001,Martin,False,False,False,O'Malley,2016-02-28T01:54:13Z,county,True,P,President,Dem,22603,44202,14,100.0,14,county-41001,Abbeville,False,,,South Carolina,SC,False,False,6,0.003272,False
41001-polid-1746-county-41002,polid-1746,41001,Primary,D,1,47860,,0,2016-02-27,45003,Hillary,False,False,False,Clinton,2016-02-28T02:09:36Z,county,True,P,President,Dem,1746,44200,84,100.0,84,county-41002,Aiken,False,,,South Carolina,SC,False,False,6888,0.702284,True
41001-polid-1445-county-41002,polid-1445,41001,Primary,D,3,47863,,0,2016-02-27,45003,Bernie,False,False,False,Sanders,2016-02-28T02:09:36Z,county,True,P,President,Dem,1445,44201,84,100.0,84,county-41002,Aiken,False,,,South Carolina,SC,False,False,2870,0.292618,False
